,software
0,crm software
1,crm
2,software
3,project management software
4,project
5,project management
6,management software
7,expense management software
8,expense
9,expense management
10,video conferencing software
11,video
12,video conferencing
13,conferencing software
14,online backup software
15,online
16,online backup
17,backup software
18,ecommerce platforms
19,ecommerce
20,platforms
21,accounting software
22,accounting
23,erp systems
24,erp
25,systems
26,marketing automation software
27,marketing
28,marketing automation
29,automation software
30,all categories
31,all
32,categories
33,sales compensation
34,sales
35,compensation
36,contract management
37,contract
38,management
39,esignature
40,sales acceleration
41,acceleration
42,sales intelligence
43,intelligence
44,accountbased marketing
45,accountbased
46,content marketing
47,content
48,conversion rate optimization tools
49,conversion
50,tools
51,conversion rate
52,optimization tools
53,conversion rate optimization
54,rate optimization tools
55,customer data platform cdp
56,customer
57,cdp
58,customer data
59,platform cdp
60,customer data platform
61,data platform cdp
62,demand generation
63,demand
64,generation
65,digital analytics
66,digital
67,analytics
68,email marketing
69,email
70,event management
71,event
72,marketing analytics
73,automation
74,personalization
75,public relations pr
76,public
77,pr
78,public relations
79,relations pr
80,seo tools
81,seo
82,sms marketing
83,sms
84,social media marketing
85,social
86,social media
87,media marketing
88,technology research services
89,technology
90,services
91,technology research
92,research services
93,transactional email
94,transactional
95,local listing management
96,local
97,local listing
98,listing management
99,business intelligence
100,business
101,data virtualization
102,data
103,virtualization
104,drone analytics
105,drone
106,enterprise search software
107,enterprise
108,enterprise search
109,search software
110,insight engines
111,insight
112,engines
113,predictive analytics
114,predictive
115,statistical analysis
116,statistical
117,analysis
118,text analysis
119,text
120,time series intelligence
121,time
122,time series
123,series intelligence
124,visitor behavior intelligence
125,visitor
126,visitor behavior
127,behavior intelligence
128,gis
129,plm
130,building design building information modeling bim
131,building
132,bim
133,building design
134,modeling bim
135,information modeling bim
136,building design building
137,building information modeling bim
138,building design building information
139,building design building information modeling
140,design building information modeling bim
141,civil engineering design
142,civil
143,design
144,civil engineering
145,engineering design
146,generalpurpose cad
147,generalpurpose
148,cad
149,mechanical computeraided design mcad
150,mechanical
151,mcad
152,mechanical computeraided
153,design mcad
154,mechanical computeraided design
155,computeraided design mcad
156,pcb design
157,pcb
158,sketching
159,team collaboration
160,team
161,collaboration
162,idea management
163,idea
164,meeting management
165,meeting
166,ucaas platforms
167,ucaas
168,conferencing
169,voip
170,pos
171,emerchandising
172,payment gateways
173,payment
174,gateways
175,review management
176,review
177,subscription management
178,subscription
179,brand protection
180,brand
