Data_Technology,Data_Skills
.NET driver,(E)LT orchestration
Ab Initio ,accurately
Acryl Data ,ACP
Active Takeoff,Acquisition
Active Takeoff and Plan Grid,action plans
ActiveMatrix,Administer
Adobe,Administration
Adobe  Campaign,aggregating
Adobe  Experience  Manager,Agile
Adobe  Journey  Optimizer,algorithms
Adobe  Target,analytic cluster
Adobe Campaign ,analytics
Agile,analytics metadata and metrics
Agile Data Engine ,analytics metasdata and metrics
Aginity,analytics platform
Aginity Pro / Aginity Team ,annotated
Airbyte ,anomalies
Airflow,anomaly
Alation ,anomaly detection
Alteryx ,Anticipate
Alteryx Designer Cloud ,Apache
ALTR ,APIs
Amazon,architecture
Amazon Data Firehose ,assess
Amazon SageMaker ,assessing impacts
Anomalo ,attrition
Apache NiFi,auditing
Apple,auditing data
Artie ,audits
Ascend.io ,automated data lineage
ASP NET,automated data lineage catalog
Astrato ,automation
Atlan ,B2B
AtScale ,B2C
Aurora,backlog
Avro,balancing
AWS,best practices
AWS QuickSight ,BI
Azure,Big Data
Azure Data Factory ,Bigdata
Azure Machine Learning,biology
Baffle ,Biomedical
Bash,Biometrics
Big Squid ,Biopharmaceutical
Bigeye ,Biostatistics
BigID ,broader systems
Boomi ,business analytics suite
BoostKPI ,business intelligence tools
BusinessWorks,Cad
C++,calculating
CA Erwin,campaign
CAD,Capacity  Planning
Carisk,cardiovascular
Carisk  Portal,Case  Manage
Carisk  Waitlist,cataloging
CARTO ,CD
CData,CDISC
CData Software ,Certifications
Census ,Certified  Health  Data  Analyst
Chargify,Certified Business Intelligence Professional
Chartio ,challenges
CI Poly,Change  Control
Clearwell,changing priorities
CMpro,chemistry
Coalesce ,CI  SOX
Cognos,CI/CD
Collibra ,CI/CD automation
Comforte ,CI/CD orchestration environment
CompTIA Security + CE,CIBMTR
Confluence,CIPM
Crystal,CIPP
Crystal  Reports,CIPT
CyberRes,CISM
CyberRes Voltage ,classification
Data Factory,cleansing
Data_Technology,cleanup
data.world ,client interviews
Databricks,cloud computing
Databricks ,cloud-based
Datadog ,cloud-based data loader
Dataguise ,cloud-native
Dataiku ,co-design
Datameer ,Code  Review
DataOps.live ,collaborative
DataRobot ,compatibility
DataStage,compelling data
DataVirtuality ,compensation
DBeaver ,competencies
dbt,competitive
dbt Labs ,compiling
Denodo ,completeness
Devart,complex business problems
Devart ODBC,complex SQL
Devart SSIS,compliance
DevSecOps,CompTIA Security+ Certification
Diyotta ,computer science
Docker,computing graphics environment
Domino ,concise communication
Domo ,Concordance
DOORS,concurrent
DvSum ,configuration
Dynamics,configuration
EC2,connectivity
ElasticSearch,construction
erwin ,Consulting
Essbase,consumable
Etleap ,continuous
Etlworks ,continuous data integration
