id,name,description
1,100Hires,"Applicant Tracking Systems (ATS), Staffing, Candidate Relationship Management, Recruitment Marketing, Job Description Management"
2,10xWinners OKR,Objectives and Key Results (OKR)
3,12d Synergy,Construction ERP
4,1Flow,Survey
5,1Fort,"Data Loss Prevention (DLP), Password Manager, Email Anti-spam"
6,1WorldSync,"Product Information Management (PIM), Catalog Management, E-Commerce Analytics, Digital Asset Management"
7,24ORM,Digital Analytics
8,33Across,"Supply Side Platform (SSP), Identity Resolution"
9,360 CTI,Auto Dialer
10,360 Platform,Mobile Advertising
11,360 Sync,Autodesk Construction Cloud Integration Partners
12,365 Data Science,Online Course Providers
13,365Talents,"Talent Intelligence, Career Management, Skills Management, Talent Marketplace Platforms"
14,3DModelSpace,CAD Libraries
15,3Data,VR Visualization
16,3M Connected Safety,Connected Worker Platform
17,3radical Voco,Gamification
18,409A Valuation from Eton Venture Services,409A Valuations Providers
19,42,"Retail Analytics, Retail Assortment Planning, E-Merchandising"
20,42matters,"Mobile App Analytics, Market Intelligence, App Store Optimization, Competitive Intelligence"
21,4ALLPORTAL,"Product Information Management (PIM), Digital Asset Management"
22,4Easysoft Screen Recorder,Screen and Video Capture
23,4medica,"Healthcare Payer Care Management Workflow Applications, Patient Identity Resolution"
24,500mail by 500apps,Email Client
25,6sense Revenue AI for Marketing,"Account-Based Orchestration Platforms, Buyer Intent Data Providers, Conversational Marketing, Account-Based Execution, Account-Based Analytics, Marketing Account Intelligence, Account Data Management, Lead Scoring, Visitor Identification, Account-Based Advertising"
26,6sense Revenue AI for Sales,"Buyer Intent Data Providers, Account Data Management, Lead Intelligence, Lead Scoring, Visitor Identification, Sales Intelligence"
27,7 Layer Solutions,"Managed IT Services, Cloud Migration Services, Vulnerability Assessment Services, Threat Intelligence Services, Network Security Services, Managed Security Services (MSSP), IT Compliance Services, Incident Response Services, Endpoint Security Services, Data Security Services, Application Security Services, Other Microsoft Resellers, Microsoft Office 365 Resellers, Microsoft Azure Resellers, IT Strategy Consulting, IT Infrastructure Consulting, Digital Transformation Consulting, Cybersecurity Consulting, Cloud Consulting, IT Outsourcing, Penetration Testing Services, Microsoft Consulting Services"
28,80legs,Web Data Providers
29,9 Spokes,Data Visualization
30,@EASE,"Volunteer Management, Donor Management, Fundraising, Nonprofit CRM"
31,A-INSIGHTS,"Market Intelligence, Competitive Intelligence"
32,A-LIGN,"Data Privacy Services, IT Compliance Services"
33,A-LIGN A-SCEND,"Security Compliance, Audit Management"
34,A-Qua Mailer web,Postal Presort
35,A-SCEND,"Security Compliance, Cloud Compliance, Audit Management"
36,A2X,"Online Marketplace Optimization Tools, E-Commerce Data Integration"
37,ABB Electronic Work Instructions,Work Instructions
38,ABELDent,Dental Practice Management
39,ACTIVEWorks Endurance,Athletic Competition Management
40,ACTS,Church Management
41,AD Report Builder,Data Visualization
42,ADC+,Data Center Security Solutions
43,ADP DataCloud,"HR Analytics, Pay Equity"
44,AES Drive,Encryption
45,AFS G2,"Retail Analytics, Retail Intelligence"
46,AIFMD,Other Finance \\u0026 Admin.
47,AIGenesis,Veterinary Practice Management
48,AIMLEAP - Outsource Bigdata,"Robotic Process Automation (RPA) Consultancy Services, UiPath Consulting, Data Governance Services, AI Development Services, Cloud Migration Services, Data Entry Services, Market Research Services, Data Extraction Services, Application Security Services, Cloud Consulting, Data Labeling Services"
49,AIMLEAP Full-Stack Techies,"Recruitment Agencies, On-Demand Staffing Services, Staffing Agencies"
50,AINA Small Talk,Push-To-Talk (PTT)
51,AML Information Management (AMADAS),Asset Performance Management
52,AMZ Prep,Third-Party Logistics
53,ANTI-MONEY LAUNDERING,Anti Money Laundering
54,AOMEI Backupper,"PC Backup, Hard Drive Cloning, Online Backup, Server Backup"
55,"APARAVI, Data Intelligence \u0026 Automation Platform","Sensitive Data Discovery, Enterprise Search Software, Big Data Processing and Distribution"
56,APBackup,PC Backup
57,APIANT,"Integration Brokerage, E-Commerce Data Integration, Continuous Integration, On-Premise Data Integration, iPaaS"
58,APISCRAPY,"Data Extraction, Data Labeling, Machine Learning, Image Recognition"
59,APOS Live Data Gateway,SAP Store
60,APPSeCONNECT,"SAP Store, E-Commerce Data Integration, iPaaS, API Management, Business Process Management, Electronic Data Interchange (EDI), Embedded Integration Platforms"
61,APTANIA,"Digital Analytics, Product Analytics"
62,ARCON | Privileged Access Management (PAM),Privileged Access Management (PAM)
63,ARCOS Utility Insight,Data Visualization
64,ARIES Petroleum Economics and Reserves Software,Oil and Gas Project Management
65,ARMS,Police Records Management System (RMS)
66,ARTIK Cloud,"IoT Development Tools, C/C++ Integrated Development Environments (IDE), Python Integrated Development Environments (IDE), Java Integrated Development Environments (IDE)"
67,ASC Documents,Document Creation
68,ASINASIN,Online Marketplace Optimization Tools
69,ASNA DataGate,Database Security
70,ASO Tools,App Store Optimization
71,ASPEN-RMS,Police Records Management System (RMS)
72,ATLAS.ti,"Data Visualization, Analytics Platforms, Text Analysis"
73,ATLOS,Loan Origination
74,AT\u0026T Enhanced Push-to-Talk,"Push-To-Talk (PTT), Business Instant Messaging"
75,AVEVA Enterprise Resource Management (ERM),Oil and Gas Project Management
76,AVG File Server Edition,Antivirus
77,AVL Concerto,Other Analytics
78,AWS Adapter for OIC,Tools for ERP
79,AWS Adapter for SAP Process Orchestration and SAP Integration Suite,"Tools for ERP, SAP Store"
80,AWS AppSync,API Design
81,AWS Application Discovery Service,On-Premise Data Integration
82,AWS Connected Vehicle Solution,Connected Car
83,AWS Cost and Usage Report,Cloud Cost Management
84,AWS Data Exchange,Data Exchange Platforms
85,AWS DataSync,"Cloud Migration, File Migration, Data Replication"
86,AWS Database Migration Service,"ETL Tools, Cloud Migration, Data Replication"
87,AWS Deep Learning AMIs,"Other IT Infrastructure, AWS Marketplace, Artificial Neural Network"
88,AWS Direct Connect,Virtual Private Servers (VPS)
89,AWS Glue,"AWS Marketplace, Data Replication, Data Virtualization, Data Preparation, Machine Learning Data Catalog, Big Data Integration Platforms, ETL Tools"
90,AWS Glue Connector for Google BigQuery,AWS Marketplace
91,AWS Greengrass,"IoT Edge Platforms, IoT Development Tools"
92,AWS Ground Station,Other IT Management
93,AWS Import/Export Snowball,"ETL Tools, Cloud Migration"
94,AWS IoT Analytics,IoT Analytics Platforms
95,AWS IoT SiteWise,"Industrial IoT, IoT Analytics Platforms"
96,AWS Lake Formation,"Big Data Processing and Distribution, Big Data Integration Platforms"
97,AWS Outposts,Rack Servers
98,AWS PrivateLink,"Virtual Private Cloud (VPC), Cloud Data Security"
99,AWS Reserved Instance Reporting,Other IT Management
100,AWS Secrets Manager,"Privileged Access Management (PAM), Secrets Management Tools"
101,AWS Serverless Application Repository,Cloud Platform as a Service (PaaS)
102,AWS Service Catalog,Enterprise IT Management
103,AWS Snowball,IoT Edge Platforms
104,AWS Snowball Edge,On-Premise Data Integration
105,AWS Snowmobile,On-Premise Data Integration
106,AWS Systems Manager,Enterprise IT Management
107,AWS Training and Certification,Virtual IT Labs
108,AWS Trainium,Data Science and Machine Learning Platforms
109,AYLIEN News API,"Media Monitoring, Web Data Providers"
110,Aaameet.in,Video Conferencing
111,Ab Initio,"ETL Tools, Data Mapping"
112,Abacum,"Budgeting and Forecasting, Corporate Performance Management (CPM), Financial Analysis"
113,Abla Analytics,Digital Analytics
114,Absolute Reports,Market Research Services
115,Absolute Secure Access,"Software-Defined Perimeter (SDP), Zero Trust Networking, Business VPN, Digital Employee Experience (DEX) Management"
